crop_iri;fert_iri;climate_type;fert_type;value_type;n2o_emission_factor;
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;dry;default;value;0.005;
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;dry;default;min;0;
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;dry;default;max;0.011;
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;def;default;value;0.01;
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;def;default;min;0.001;
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;def;default;max;0.018;
http://data.europa.eu/xsp/cn2024/100600000080;http://data.europa.eu/xsp/cn2024/310200000080;flooded_rice;default;value;0.004;
http://data.europa.eu/xsp/cn2024/100600000080;http://data.europa.eu/xsp/cn2024/310200000080;flooded_rice;default;min;0;
http://data.europa.eu/xsp/cn2024/100600000080;http://data.europa.eu/xsp/cn2024/310200000080;flooded_rice;default;max;0.029;
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;wet;inorg;value;0.016;
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;wet;inorg;min;0.013;
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;wet;inorg;max;0.019;
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;wet;org;value;0.006;
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;wet;org;min;0.001;
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;wet;org;max;0.011;
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;wet;resid;value;0.006;
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;wet;resid;min;0.001;
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;wet;resid;max;0.011;
